"10";"100";"1000";"10000";"1e+05";"1e+06"
3,6;3;3,104;3,1508;3,14056;3,142052
3,2;3,24;3,208;3,1364;3,13572;3,142848
2,8;3,08;3,296;3,1376;3,13948;3,141544
2,4;3,24;3,164;3,1416;3,1266;3,140668
3,6;3,04;3,092;3,1372;3,13656;3,140244
2,8;3,2;3,188;3,1172;3,14236;3,1421
3,6;3,2;3,184;3,1428;3,15704;3,140884
3,2;3,36;3,156;3,1416;3,14356;3,139356
3,6;3,16;3,092;3,156;3,13828;3,138968
3,6;3,32;3,196;3,1528;3,14404;3,141284
2,8;3,16;3,12;3,1504;3,14084;3,140024
3,6;3,16;3,148;3,1252;3,13604;3,143116
2,8;3,12;3,176;3,146;3,14268;3,139208
2,8;3,24;3,24;3,1288;3,13204;3,140332
3,2;2,8;3,156;3,0936;3,13944;3,139488
3,6;3;3,16;3,1668;3,14412;3,141244
4;3,32;3,18;3,1444;3,14148;3,142288
2,4;3,2;3,192;3,1348;3,13728;3,142068
1,6;3,36;3,184;3,1472;3,14124;3,141864
2;3,12;3,092;3,1344;3,14624;3,138856
2,8;3,08;3,06;3,1252;3,14304;3,139952
2,8;2,76;3,156;3,1856;3,1398;3,142284
2,8;3,24;3,144;3,1352;3,13828;3,142524
2,8;3,24;3,092;3,1492;3,14848;3,140248
2,8;3,4;3,292;3,1608;3,151;3,13968
3,6;2,92;3,192;3,154;3,1448;3,137584
3,6;3,08;3,128;3,1208;3,14804;3,140728
3,2;3,12;3,116;3,1484;3,14696;3,143068
3,6;3,16;3,184;3,1444;3,1402;3,144032
3,2;3,28;3,268;3,1524;3,13644;3,141848
3,2;3,28;3,104;3,1116;3,14576;3,140276
2,8;3;3,144;3,1716;3,14832;3,142212
3,2;3,04;3,16;3,1552;3,13536;3,140244
4;3,12;3,1;3,1616;3,14548;3,140368
2,8;3;3,148;3,1232;3,14276;3,142008
3,2;3,28;3,148;3,1352;3,13956;3,139844
3,2;3,24;3,228;3,126;3,13568;3,142036
3,6;3,24;3,2;3,1532;3,13348;3,139456
3,2;2,88;3,192;3,146;3,13756;3,137332
3,2;2,84;3,064;3,1596;3,14468;3,141048
2,8;3,32;3,104;3,1376;3,13716;3,141064
2,4;3,32;3,168;3,1604;3,13816;3,142616
3,2;3,28;3,12;3,1344;3,14472;3,141508
2,8;3,2;3,092;3,1372;3,12664;3,140348
2,8;3,12;3,08;3,128;3,14392;3,142456
3,6;3,36;3,144;3,1436;3,1484;3,140732
2,8;3,32;3,172;3,1456;3,14324;3,14428
3,2;3,08;3,072;3,1556;3,13912;3,14192
3,6;2,96;3,156;3,1324;3,15208;3,142816
2,8;3,24;3,152;3,1068;3,13616;3,142732
3,2;3,2;3,076;3,1568;3,13016;3,144424
3,6;3,2;3,136;3,1312;3,14256;3,144564
3,6;3,16;3,044;3,1548;3,1406;3,141236
3,2;3,28;3,052;3,1612;3,14192;3,142664
3,2;3,2;3,044;3,1328;3,132;3,143216
2,8;3,36;3,152;3,1516;3,14436;3,14
3,2;3,04;3,184;3,1376;3,14308;3,1403
3,6;3,12;3,156;3,14;3,14192;3,142208
2,8;3;3,196;3,1364;3,14676;3,142436
3,6;3,16;3,104;3,1608;3,14188;3,139816
3,6;2,92;3,18;3,1264;3,14516;3,139956
2;3,08;3,096;3,1416;3,13648;3,142596
3,2;3,2;3,12;3,1392;3,1412;3,142336
2,8;3,04;3,168;3,1616;3,1348;3,141016
3,2;3,12;3,156;3,1468;3,15128;3,142152
2,8;2,88;3,076;3,1348;3,13548;3,140556
2,8;3,28;3,224;3,1356;3,14496;3,144012
3,2;3,12;3,248;3,14;3,1466;3,14046
2,8;3,2;3,1;3,1416;3,14368;3,142984
2,8;3,16;3,192;3,1596;3,1298;3,143776
3,6;2,8;3,136;3,1464;3,139;3,14304
3,6;3,36;3,104;3,1516;3,14596;3,141532
2,4;3,44;3,136;3,1216;3,14184;3,143192
